일련번호,Title,연도,저자,구분,Topic,요약
83,뇌과학자들,2016,샘킨,과학/기술,신경과학,"뇌과학 역사에서 중요한 신경외과 의사와 환자들의 사례에 대한 이야기. 16세기 앙리2세는 마상창 시합에서 사망하는데, 베살리우스가 뇌를 해부해 뼈의 소실없이 뇌손상으로 사망할 수 있음을 보였다. 가필드/매킨리 대통령 암살자인 기토/출고시와 카할의 신경세포론을 연결하면서, 뇌세포와 정신 이상 관련성을 알게됨 맹인 제임스 홀먼이 반향감지로 사물을 인지하는 것은, 공감각과 뇌의 가소성의 사례.  20세기초 호주 원주민에게 유행한 쿠루병을 연구한 가이듀섹은 식인풍습이 병을 전염시켰으며,  광우병에 영향을 준 Prion이라는 단백질의 정체가 밝혀진다.변연계가 손상된 엘리어트의 사례에서, 감정과 결합된 기억이 없는 환자가 사랑하는 사람을 잃는 과정을 볼 수 있다. 의사 펜필드는 다양한 간질 환자를 수술하면서, 뇌가 영역별로 기능을 달리한다는 호몬쿨루스, 뇌지도를 완성한다.망상의 대표적인, 카프그라 증후군은 이성적 인식과 감정적 인식의 차이로 인해 사랑하는 사람을 읽으며, 더 나아가 자신도 부정하는 코타르 증후군도 있다. B1 결핍이 각기병뿐 아니라 작화를 하는, 코르사코프 증후군을 유발하는데, H.M.이라는 유명한 환자의 사례를 통해 해마가 기억에 영향을 줌을 알게된다.  브로카는 좌뇌의 언어를 발화하는 브로카 영역을 발견하였고, 뇌량에 대한 연구를 통해 좌뇌와 우뇌의 담당하는 기능이 차이가 있음을 알게된다. 피니어스 게이지는 의식과 자아가 국재화하지 않음을 보여주는 사례로 기억되고 있다"
84,뇌를 바꾼 공학,2015,임창환,과학/기술,뇌과학,"뇌공학의 발전상에 대해서 설명.fMRI나 뇌파 기술이 발전하고 있으며, 고속/고해상 영상 가능. 뇌파와의 조합으로 한계를 극복이런 기술들은 BCI(뇌-컴퓨터 인터페이스)로서 타자기등이나, 거짓말 탐지기, 감정 분석을 통해 뉴로 마케팅에도 이용. 슈퍼컴퓨터의 분석을 통해 치매를 예측하기도 하면, 이런 원이로 청각/시각피질을 자극하여 장애인에게 새로운 기회 줄 수 있음인간 커넥톰. 확산텐서영상(DTI)를 이용한 뇌세포 연결 구조를 파악해 조현병등 병리적 문제 해결에 도움. 뇌 임플란트. 심부뇌자극(DBS)기술경두개직류자극(tDCS) 신경세포의 활성도를 변경시켜 뇌전증 완화 or 인지증폭이 가능. 광유전방법은 좁은 영역만 제어가능하므로 더 효과적 뉴로피드백. 일정한 자극(영상등)을 통해 뇌파의 주파수등을 변경. 자폐, 우울증 치료에 우수한 효과. fMRI로 편도체(섬엽)의 체적 감소도 확인인공지능. 뇌의 원리를 모방하여 폰노이만 방식이 아닌 Memrister 방식을 개발"
85,뉴노멀,2014,피터 힌센,과학/기술,디지털 혁명,"디지털이 일상화된 이른바 제2막을 어떻게 준비해야 하는지를 설명나의 예상된 답은, 그는 아마, 디지털시대에 정보는 많고, 고객과, 경쟁자들이 굉장히 빠르게 변해가므로, 우리도 유연하면서 신속하게 변할 수 있도록 조직과 문화를 혁신해야 한다.-> 예측이 됨1. 한계와 원칙: 적당한걸 빨리 내놓기. 기업 정보 투명성. 비 위계적2. 고객 전략: 대중보다 한사람에 Focus. 맞춤형 서비스3. 정보 전략: 막대한 정보를 체계화 시키기4. 조직 전략: 투명한 개인 평가. 아웃소싱. 인재 유동성 증가5. 혁신 전략: 외부에서 혁신 소스 찾기. 제품보다 채널/플랫폼이 중요6. 기술 전략: SaaS로 인해 IT 부서는 존폐의 위기7. 총평: 디지털 원주민 관점에서 고민하기"
86,뉴맵,2021,대니얼 예긴,과학/기술,에너지와 지정학,"에너지 자원의 문제는 기존에 중동 위주로 다루어졌으나, 셰일혁명으로 인한 미국의 입지 변화와 중국의 일대일로 전략으로 인해 큰 변화가 이루어지고 있다.미국의 관점. 텍사스 조지미첼의 수압파쇄법으로 시작된 셰일혁명으로 인해, 미국은 에너지 순수출국이자 Big3 에너지 생산국으로 변신한다. 아메리카 대륙의 캐나다/멕시코의 송유관을 통한 지배권 및 국제관계의 레버리지도 상당히 증가러시아의 관점. 가스 송유관을 통해 유럽과 긴밀한 관계. 이에 대한 미국의 방해를 벗어나기 위해 중국과의 밀착된 관계로 발전중국의 관점. 남중국해 중국의 에너지 수입 및 무역에 있어 매우 중요한 지역이다. 이에 대안으로 중앙아시아를 통한 일대일로 정책를 추진하고 있다중동의 관점. 사우디와 이란의 대립으로 인한 불안과 테러. 2010년대 불황으로 인한 원유 가격 하락이 새로운 도전으로 작용기후 위기와 전망. 재생에너지와 개발도상국의 에너지 전환에 놓인 과제들. 다양한 에너지 자원의 부상이 미래의 에너지 지도를 복잡하게 하고 있음"
87,뉴스의 시대,2014,알랭 드 보통,역사/사회,뉴스 소비,"이 시대의 뉴스란 어떤 것들이어야 하는지에 대한 참신한 시각을 알랭 드 보통이 전해준다. 19세기 플로베르가 걱정한 것처럼, 뉴스는 개개인의 비판적 사고력을 퇴화시킬 수 있으므로, 이를 개선할 수 있는 방향이 필요하다.정치 뉴스에서는 맥락이 끊어진 단편적인 지식이 주어질 뿐이며, 이는 대중을 흥미를 잃거나, 좌절이나 분노를 느끼는 방향으로만 몰아넣는다. 뉴스는 무지와 편견을 줄여주는데 기여하여야 한다.해외 뉴스는 충격적인 참상의 전달에만 급급해 있는데, 그들의 일상이나 이국적인 아름다움을 전달하는 저널리스트의 역할이 필요하다. 경제 뉴스는 단순한 지표의 전달보다, 그 이면의 기업가들의 분투에 주목한다면 세계를 움직이는 거대한 힘을 느낄 수 있다. 유명인 뉴스는, 스캔들이나 작품계획이 아닌, 성공의 비결과 배울점을 보여주는 것이 더 좋다.재난 뉴스는, 두려움보다는, 평안한 하루에 대한 감사를 고양시킬 필요가 있다. 마지막으로, 뉴스가 이렇게 진화하더라도, 개개인이 자기만의 생각을 잉태하는 인내의 시간이 더 중요하다는 것은 인식해야 한다"
88,다시 어떻게 읽을 것인가,2023,나오미 배런,인문/자기계발,디지털 독서,"종이 독서와 디지털 독서를 비교하여, 앞으로 읽기가 나아갈 방향을 제시한다. 연구 결과에 의하면 디지털 독서는 확실히 종이에 비해 집중력이 떨어져서 내용을 이해하고 기억하는데 어려움을 겪게 된다. 따라서 되도록 복잡한 개념등에 대한 이해가 필요한 경우 종이책을 읽는 것이 훨씬 효과적이다.하지만 디지털 독서는 사람들의 심리적 장벽을 낮춰주고, 웹 접속을 통해 다른 정보도 동시에 확인할 수 있어, 나름대로의 장점을 가지고 있는 것도 사실이다.이에 저자는 종이 독서와 디지털 독서를 병행하는 하이브리드 형태를 제안하고, 텍스트의 성격에 따라 다른 매체를 선택하는 것을 제안한다. 한편, 디지털 독서의 대세는 거스르기는 어렵기 때문에, 효율을 개선하는 몇가지 디지털 독서의 팁을 제안하는데, 좀더 천천히 주의깊게 읽으려고 노력하고, 독서중 메모등을 통해 기억을 보완하는 것이 효과적이다."
89,다크 데이터,2021,데이비드 핸드,과학/기술,다크 데이터,"다크데이터는 무시되거나, 수집되어도 분석되지 않아 우리가 인식하지 못하는 여러 도메인 데이터를 포괄한다. 대략 다음과 같은 종류의 데이터를 주의해야 한다. 빠진것을 아는 데이터, 빠진 것을 모르는 데이터. 표본에 일부만 선택, 특히 이를 의도적으로 선택, 중요한것을 빼고 수집, 하나만 선택되어 수집이 배제된 데이터. 시간에 따라 변하는 데이터, 시간에 따라 정의가 달라져 달리 수집되는 데이터. 요약시 누락, 측정오차, 피드백과 게이밍(성적 인플레이션), 정보비대칭. 사기에 가까운 의도적 선택, 사기에 의한 합성, 외삽
"
93,당신도 느리게 나이들수 있습니다,2023,정희원,과학/기술,건강한 노화,"저자는 현대의 자본주의가 편안한 삶을 통해 사람들의 가속노화를 부추기고 있다고 하며, 이를 방지하기 위해 내재적 역량을 강화할 것을 주문한다. 이 내재역량을 4가지의 큰 틀로 나누어 제시하는데, Mobility, Mental, Medicine, What Matters이다. 이동성은 운동을 강화하는 것인데, 근력 운동과 유산소 운동을 병행하는 균형있는 운동이 필요하다. 정신건강은, 마음챙김을 통해 이른바 옳고그름의 판단없이 나 자신에 집중하기가 필요하다. 몰입은 결과를 생각하지 않고 현재 그 자체에 집중하는 것으로서 마음근력을 향상시켜 준다. 질병관리는, 먹는것에서부터 시작한다. 이른바 MIND 지중해식단과 같이 저가공 탄수화물과 붉은고기 섭취를 줄이는 것이 좋다. 쓸데없는 항산화요법은 피하고, 다만 Metformin이나 Rapamycin은 권장된다.  중요한것 찾기는, 좀 모호하지만, 지금까지의 3M을 균형있게 유지하고, 배움과 같이 내재역량을 높일 수 있는 방법을 꾸준하게 실시하는 것이다. 친구관계와 같은 사회적 자원도 소중하게 관리하는 것이 좋다"
94,당신은 사업가입니까,2014,캐럴 로스,경제/경영,사업 성공,"사업가가에 대한 환상을 불식하고, 독자가 사업가의 자질을 가지고 있는지 명확하게 검증하는데 도움을 주기 위한 책이다.  보통 사업을 하게 되는 계기가 꿈의 실현, 취미를 일로 하기, 압박으로부터의 자유인 경우가 많지만, 이런 것들은 대단히 부적절한 이유가 된다.  사업은 단순한 판매기술, 전문지식을 보여주는 것이 아닌, 사업체 전체를 운영하는 것이 핵심이다. 그리고 현재는 모든 분야에 다양한 사업체들이 무한 경쟁을 펼치고 있는 사업하기 어려운 환경임을 인식해야 한다.  필요한 것은, 그 분야의 충분한 경험, 영향력 있는 사람들에 대한 인맥, 직원들의 효과적인 위임 및 관리, 충분한 재무역량, 고생에 대한 인내와 끈기, 그리고 이 모든것들을 동시에 운영할 수 있는 능력이다. 사업을 통해 얻는 보상의 크기를 정확히 측정하고, 리스크를 포함한 기회 비용을 정확하게 계산해야 한다. 자기만이 아닌, 가족과 그외 책임져야할 관계들을 종합적으로 고려하여야 한다.  마지막으로 준비할 수 있는 시간이 충분한지, 그리고 롤러코스터와 같은 순간을 이겨낼 정신적 자원을 가지고 있는지 잘 판단한 후에 사업을 시작하도록 하자. 절대 장미빛으로 포장된 성공스토리에 유혹되지 말고"
95,당신을 보는 세상의 관점,2015,샐리 호그셰드,인문/자기계발,개인 매력,"사람들과 같이 일을 할때, 자신의 단순한 강점보다는, 다른 사람들이 나를 인식할 때 느끼는 매력 포인트를 어필하는 것은 어떨까? 저자는 이런 관점에서 사람마다 가지고 있는 매력 포인트를 7가지로 분류해서 설명한다. 먼저 힘 매력은, 자신의 권위를 잘 활용하여 사람들을 유도하며, 열정 매력은 낙천적인고 시끌벅적하게 하면서 사람의 의욕을 고취한다. 반면, 신비 매력은 먼저 주장하기 보다 깊은 사고후에 한번에 정답을 도출하며, 명성 매력은, 최고의 품질을 추구하므로 완벽해질때까지 다듬고 또 다듬는다. 혁신 매력은, 틀을 깨는 새로운 발상을 하는 아이디어 뱅크이며, 신뢰 매력은, 돋보이는 아이디어는 없지만, 꾸준하게 관계를 유지하면서 사람의 마음을 빼앗고, 경계는 일의 구석구석 문제가 될 부분을 확인해서 미리 예방하려고 한다.모든 사람들이 이런 매력 포인트를 하나둘 가지고 있으므로, 이를 반드시 활용해서 업무를 효율적으로 할 수 있고, 조직을 운영시에는 조직의 성과 극대화를 위해 다양한 매력을 가진 사람들을 잘 조합하는 운영의 묘를 발휘하는 것이 좋다"
96,당신의 모든 것이 메시지다,2021,송길영,인문/자기계발,사회적 변화,"코로나를 기점으로 해서 일어난 많은 사회적인 변화에 대한 개인의 대응 방법에 대해 설명한다. 저자는 비대면과 사회 각 영역의 분화가 일어나는 것이 변화의 본질이라고 한다. 또한 SNS포함한 데이터가 많아짐으로 인해서, 개인이 숨을 수 없는 투명한 사회가 된 것에도 적응할 필요가 있다고 한다. 이런 사회의 변화에 발맞춰, 그리고 AI에 대체되지 않는 고유성을 발휘하기 위해서는 자기주도적인 삶을 살아야 한다.저자가 예를 드는 자기주도적인 삶은 거대 플랫폼 소유자이거나, 다양한 분야의 크리에이터의 삶이다. 이를 위해서는 남들이 따라할 수 없는 나만의 특징을 브랜드화해서 보여주는 것이 필요한데, 이것은 억지로 보여주는 것이 아니라, 오랜 기간 전문 분야에서 자신의 실력을 갈고 닦음으로서 자연히 드러나는 그런 것이어야 한다"
97,당신이 옳다,2018,정혜신,인문/자기계발,심리적 치유,"저자는 심리를 치유하는 사람이다. 정신의학을 전공했지만, 뇌영상과 화학 약품을 둘러싼 이야기가 아닌, 적정심리학이라는 지극히 평범할 수 있는 이야기를 들고 왔다.사람의 모든 정신적인, 심리적인 문제 상황은 결국 존재에 대한 공감으로 치유하고 해결될 수 있다.다른 사람을 치유할 때도, 그 사람의 소유물이나 신념보다, 그 사람의 감정을 물어야 하고, 나 자신을 돌아볼 때도, 어떤 일이 일어났는지 보다, 내가 어떤 느낌을 가지고 있는지 집중하자. 그러면 비로소 치유가 시작되게 된다.그러면서, 타인과 나의 경계를 정확히 인식하는 것이 중요하다. 언제나 나 자신의 존재를 먼저 정확하게 공감하고, 다른 사람을 살펴야 한다. 나와 그는 서로 독립적인 존재임을 분명히 해서, 각자가 스스로 보호될 수 있도록 하자"
98,대량살상 수학무기,2017,캐시 오닐,과학/기술,알고리즘 불공정성,"현대의 과학과 수학이 알고리즘을 기반으로한 여러 성과를 거뒀지만, 이로 인한 부정적인 요소 WMD(대량살상무기)로 비유하면서 혁신을 요청하는 책. 먼저, 금융시장에서 수학과 컴퓨팅에 기반한 시스템 매매는 주식시장의 급등락등의 부정적인 영향을 주고 있다. 교육에서는 유에스 뉴스의 대학 순위와 같은 줄세우기가 수학적 알고리즘을 기반으로 이루어져 학생과 대학의 무의미한 무한경쟁으로 유도한다. 인터넷에서는 데이터기반으로 타겟 광고를 보냄으로써 판단력이 취약한 계층이 무리한 소비를 하여 궁핍하게 만들고 있다. 한편 사람들의 신상정보를 알고리즘 처리를 통해 범죄자나 범죄지역을 만들고, 회사의 지원시 인성검사에서 구직자를 편향된 시각으로 카테고리화 하는 디지털 골상학으로 차별을 조장하고 있다. 클로프닝과 같이 노동자가 무리한 일정으로 회사에 뼈가 빠지게 충성하게 하는 극단적인 방법도 동원되며, 저신용자의 소액대출을 장려한답시고 알고리즘을 동원해 사람들의 경제적 지위를 알고리즘으로 재단하는 것은 일상이 되고 있다. 페이스북등 거대기업의 이런 시도는 사회적 불평등을 증가시키는 요소가 되고 있으므로, 사회적 연대와 문제제기를 통해 WMD를 무력화시켜야 한다."
99,대서울의 길,2021,김시덕,경제/경영,지역 발전,"서울의 접경지역을 중심으로 수도권 각 지역의 역사적 변천의 과정을 되돌아 본다. 특히, 2차원적으로 각 지역을 살펴보는 것이 아닌, 도로와 철도를 따라 선형적으로 연결된 각 지역을 찾아가는 방식이 특이하다. 서쪽 지역에서는, 김포선을 따라 김포시와 부천시를, 48번국도를 따라 신촌에서 강화도를, 서해안고속도를 따라 시흥에서 남양반도, 자유로를 따라 고양과 파주를 돌아본다. 동부 지역에서는, 경원선을 따라 철원을, 경춘선을 따라 구리와 남양주시를, 3번국도/역말로를 따라 광주와 하남시, 헌릉로를 따라서성남시를, 교외선을 따라 대서울 순환철도를 상상한다. 그밖에 서울을 넘어서, 1호선 국철을 따라서 수원권의 수원부터 오산시까지, 수려선/수인선을 따라, 여주와 수원, 인천등 남부지역을 잇는지역, 충청도의 경계인 평택, 천안등의 20세기의 흔적들을 답사하고 있다."
100,대전환,2022,바츨라프 스밀,역사/사회,인구 변화,"인류 현대 문명의 성과와 과제를, 광범위하면서도 물적인 기반에 충실한 분석을 이용하여, 정리 및 전망하고 있다.현대 문명을 19-20세기에 걸친 다섯가지의 관점에서의 대전환의 결과로 이해한다. 인구는 의료의 발전에 의해 20억에서 80억으로 급증했으며, 식량 측면에서는 질소 고정 비료와 공장식 농업에 의해 맬서스의 저주를 극복해냈다. 에너지 관점에서는, 화석연료에 기반을 둔 비생물 원동기의 발전으로 인해 막대한 물질 생산이 가능케 한다. 경제 관점에서, 우리는 대략 10배 수준의 1인당 생산/소득의 증가를 이루어낸다. 이런 경제의 대전환은, 결과적으로 환경 관점에서의 문제, 즉 지표 유실, 자원 고갈, 환경 오염의 문제를 야기했다.저자는 미래의 전망에 대해서, 극단적인 대멸망 시나리오나, 무한한 성장지상주의자를 배격하여, 22세기에 인구포화와 미개발 국가의 전반적인 생활수준 향상은 있으나, 환경문제의 심각한 결과는 예방하지 못하고 적응하는 수순이 될 것으로 본다. 이를 해결하기 위해서는 시스템 설계를 촉진하는등 다양한 방안을 종합적으로 실시하는 것이 바람직하다"
